date,film indonesia,film horor indonesia,film komedi indonesia,film drama indonesia,film animasi indonesia
2004,15.25,16.83,15.17,24.83,4.75
2005,18.75,23.92,16.33,24.42,8.83
2006,21.67,21.25,17.67,27.92,7.5
2007,23.17,17.5,19.17,28.75,9.17
2008,24.92,16.25,20.25,26.58,9.5
2009,26.33,26.33,22.25,28.0,11.33
2010,29.17,39.83,22.92,27.33,10.92
2011,30.25,44.08,24.42,30.25,12.17
2012,32.17,38.75,26.08,31.0,13.92
2013,35.83,31.92,28.75,31.33,17.0
2014,37.83,37.58,26.42,33.58,16.5
2015,41.33,49.17,31.83,31.08,16.08
2016,41.83,61.0,30.83,33.83,18.33
2017,45.25,59.67,31.33,33.92,20.83
2018,46.67,54.5,33.08,34.33,21.33
2019,51.58,53.67,34.75,37.08,23.5
2020,52.5,60.17,36.25,36.0,22.83
2021,51.67,76.42,40.33,36.17,24.5
2022,58.25,80.75,40.5,37.5,23.58
2023,55.42,75.33,42.08,38.17,26.33
2024,60.17,70.58,42.25,39.5,26.5
2025,62.33,74.92,44.17,38.83,30.58
2026,66.0,79.67,45.5,41.83,30.83
