date,film indonesia,film horor indonesia,film komedi indonesia,film drama indonesia,film animasi indonesia
2004-01-01,17.0,7.0,8.0,24.0,6.0
2004-02-01,10.0,12.0,12.0,23.0,5.0
2004-03-01,19.0,12.0,16.0,26.0,6.0
2004-04-01,20.0,22.0,15.0,24.0,5.0
2004-05-01,6.0,21.0,14.0,23.0,6.0
2004-06-01,9.0,17.0,15.0,26.0,4.0
2004-07-01,17.0,14.0,16.0,24.0,1.0
2004-08-01,15.0,14.0,12.0,26.0,1.0
2004-09-01,16.0,24.0,19.0,26.0,8.0
2004-10-01,12.0,21.0,19.0,22.0,5.0
2004-11-01,21.0,23.0,18.0,24.0,4.0
2004-12-01,21.0,15.0,18.0,30.0,6.0
2005-01-01,18.0,26.0,18.0,22.0,9.0
2005-02-01,23.0,25.0,25.0,19.0,7.0
2005-03-01,20.0,19.0,16.0,20.0,4.0
2005-04-01,13.0,22.0,15.0,26.0,10.0
2005-05-01,20.0,25.0,14.0,26.0,11.0
2005-06-01,13.0,25.0,13.0,26.0,8.0
2005-07-01,23.0,24.0,12.0,30.0,10.0
2005-08-01,18.0,25.0,14.0,18.0,10.0
2005-09-01,18.0,24.0,17.0,27.0,10.0
2005-10-01,15.0,26.0,19.0,31.0,9.0
2005-11-01,25.0,31.0,18.0,23.0,9.0
2005-12-01,19.0,15.0,15.0,25.0,9.0
2006-01-01,17.0,24.0,21.0,24.0,4.0
2006-02-01,18.0,25.0,21.0,24.0,9.0
2006-03-01,22.0,25.0,17.0,25.0,3.0
2006-04-01,22.0,22.0,15.0,31.0,5.0
2006-05-01,22.0,16.0,20.0,32.0,12.0
2006-06-01,23.0,24.0,19.0,26.0,10.0
2006-07-01,31.0,29.0,13.0,32.0,12.0
2006-08-01,19.0,15.0,18.0,27.0,7.0
2006-09-01,18.0,24.0,20.0,32.0,5.0
2006-10-01,17.0,18.0,15.0,27.0,7.0
2006-11-01,24.0,19.0,20.0,27.0,8.0
2006-12-01,27.0,14.0,13.0,28.0,8.0
2007-01-01,21.0,16.0,24.0,37.0,12.0
2007-02-01,18.0,22.0,24.0,30.0,7.0
2007-03-01,18.0,19.0,18.0,25.0,10.0
2007-04-01,26.0,23.0,21.0,30.0,6.0
2007-05-01,26.0,20.0,10.0,26.0,10.0
2007-06-01,25.0,17.0,15.0,26.0,9.0
2007-07-01,19.0,22.0,19.0,30.0,7.0
2007-08-01,24.0,16.0,16.0,27.0,8.0
2007-09-01,24.0,17.0,23.0,28.0,9.0
2007-10-01,24.0,13.0,28.0,28.0,8.0
2007-11-01,28.0,14.0,15.0,29.0,15.0
2007-12-01,25.0,11.0,17.0,29.0,9.0
2008-01-01,27.0,18.0,21.0,22.0,9.0
2008-02-01,24.0,9.0,27.0,30.0,3.0
2008-03-01,26.0,17.0,16.0,25.0,7.0
2008-04-01,28.0,13.0,22.0,24.0,9.0
2008-05-01,17.0,19.0,28.0,28.0,8.0
2008-06-01,23.0,18.0,14.0,28.0,14.0
2008-07-01,23.0,23.0,16.0,26.0,10.0
2008-08-01,22.0,19.0,19.0,31.0,14.0
2008-09-01,24.0,11.0,19.0,24.0,10.0
2008-10-01,33.0,17.0,25.0,27.0,10.0
2008-11-01,21.0,14.0,22.0,26.0,10.0
2008-12-01,31.0,17.0,14.0,28.0,10.0
2009-01-01,18.0,27.0,24.0,29.0,16.0
2009-02-01,25.0,24.0,19.0,25.0,4.0
2009-03-01,27.0,20.0,27.0,31.0,5.0
2009-04-01,30.0,20.0,20.0,29.0,9.0
2009-05-01,30.0,25.0,20.0,23.0,11.0
2009-06-01,31.0,21.0,24.0,23.0,13.0
2009-07-01,26.0,25.0,25.0,29.0,13.0
2009-08-01,25.0,30.0,24.0,28.0,10.0
2009-09-01,32.0,34.0,16.0,28.0,14.0
2009-10-01,27.0,33.0,25.0,29.0,15.0
2009-11-01,22.0,23.0,19.0,30.0,12.0
2009-12-01,23.0,34.0,24.0,32.0,14.0
2010-01-01,24.0,35.0,17.0,26.0,13.0
2010-02-01,31.0,37.0,25.0,26.0,10.0
2010-03-01,29.0,43.0,20.0,26.0,14.0
2010-04-01,32.0,29.0,18.0,30.0,12.0
2010-05-01,27.0,36.0,26.0,33.0,12.0
2010-06-01,30.0,42.0,25.0,28.0,17.0
2010-07-01,33.0,34.0,21.0,22.0,5.0
2010-08-01,28.0,47.0,30.0,24.0,8.0
2010-09-01,32.0,43.0,22.0,27.0,9.0
2010-10-01,27.0,46.0,24.0,28.0,11.0
2010-11-01,28.0,40.0,25.0,28.0,12.0
2010-12-01,29.0,46.0,22.0,30.0,8.0
2011-01-01,25.0,48.0,26.0,29.0,10.0
2011-02-01,33.0,45.0,22.0,33.0,10.0
2011-03-01,29.0,45.0,23.0,28.0,20.0
2011-04-01,31.0,45.0,30.0,27.0,18.0
2011-05-01,34.0,40.0,21.0,31.0,12.0
2011-06-01,34.0,43.0,15.0,25.0,12.0
2011-07-01,35.0,43.0,31.0,31.0,10.0
2011-08-01,31.0,45.0,35.0,30.0,8.0
2011-09-01,30.0,47.0,24.0,30.0,13.0
2011-10-01,32.0,38.0,18.0,35.0,11.0
2011-11-01,24.0,42.0,24.0,28.0,13.0
2011-12-01,25.0,48.0,24.0,36.0,9.0
2012-01-01,26.0,38.0,25.0,30.0,12.0
2012-02-01,28.0,37.0,21.0,27.0,14.0
2012-03-01,35.0,41.0,28.0,31.0,15.0
2012-04-01,29.0,43.0,28.0,27.0,15.0
2012-05-01,32.0,39.0,20.0,28.0,10.0
