date,film horor,film komedi,film drama,film animasi,bioskop
2021-09-19,32,7,8,1,29
2021-09-26,33,6,7,1,30
2021-10-03,34,8,8,1,33
2021-10-10,35,7,8,2,31
2021-10-17,43,8,9,1,39
2021-10-24,38,7,8,1,37
2021-10-31,47,8,7,1,40
2021-11-07,46,8,8,1,46
2021-11-14,49,8,8,1,50
2021-11-21,47,8,8,1,46
2021-11-28,37,7,6,1,40
2021-12-05,42,8,7,1,40
2021-12-12,49,9,7,1,59
2021-12-19,57,10,9,1,70
2021-12-26,73,12,7,2,70
2022-01-02,63,10,7,2,65
2022-01-09,62,10,8,2,60
2022-01-16,45,10,8,2,52
2022-01-23,48,9,7,2,50
2022-01-30,46,9,8,1,57
2022-02-06,46,11,8,2,55
2022-02-13,49,12,7,1,51
2022-02-20,51,11,8,1,46
2022-02-27,52,12,8,2,50
2022-03-06,41,9,7,2,39
2022-03-13,42,8,6,1,40
2022-03-20,45,9,7,1,41
2022-03-27,44,8,7,1,41
2022-04-03,43,9,6,2,38
2022-04-10,46,9,7,1,42
2022-04-17,50,10,7,1,45
2022-04-24,60,10,7,1,47
2022-05-01,91,12,7,2,100
2022-05-08,75,8,7,1,87
2022-05-15,67,10,6,1,70
2022-05-22,56,10,7,1,56
2022-05-29,52,10,7,1,56
2022-06-05,47,10,7,1,54
2022-06-12,49,10,7,1,56
2022-06-19,55,11,8,1,61
2022-06-26,55,11,8,2,62
2022-07-03,56,12,7,1,62
2022-07-10,66,11,7,1,53
2022-07-17,59,10,6,1,49
2022-07-24,49,9,6,1,46
2022-07-31,54,9,6,1,51
2022-08-07,53,9,7,1,53
2022-08-14,54,9,7,1,57
2022-08-21,47,9,7,1,62
2022-08-28,46,9,6,1,65
2022-09-04,45,8,7,1,67
2022-09-11,38,8,7,1,68
2022-09-18,43,7,6,1,69
2022-09-25,40,8,6,1,62
2022-10-02,48,9,6,1,57
2022-10-09,51,9,6,1,52
2022-10-16,50,9,7,1,44
2022-10-23,48,10,6,1,46
2022-10-30,50,8,6,1,47
2022-11-06,52,9,6,1,48
2022-11-13,53,9,5,1,47
2022-11-20,41,8,6,1,39
2022-11-27,42,7,6,1,41
2022-12-04,43,8,6,1,40
2022-12-11,52,11,6,1,46
2022-12-18,60,11,6,1,62
2022-12-25,82,15,8,1,70
2023-01-01,61,11,7,1,65
2023-01-08,50,9,7,1,52
2023-01-15,45,10,8,1,48
2023-01-22,56,10,8,1,54
2023-01-29,49,9,7,1,50
2023-02-05,48,9,7,1,45
2023-02-12,51,8,6,1,47
2023-02-19,49,9,6,1,42
2023-02-26,46,9,6,1,40
