date,film action,film religi,film romantis,netflix,bioskop
2021-09-19,2,0,2,35,5
2021-09-26,2,0,2,37,5
2021-10-03,2,0,2,30,6
2021-10-10,2,0,2,28,5
2021-10-17,2,0,2,30,6
2021-10-24,2,0,2,23,6
2021-10-31,2,0,2,26,7
2021-11-07,2,0,2,26,8
2021-11-14,2,0,2,24,8
2021-11-21,2,0,2,21,8
2021-11-28,2,0,2,21,7
2021-12-05,2,0,2,22,7
2021-12-12,2,0,2,24,10
2021-12-19,2,0,2,28,12
2021-12-26,3,0,2,27,12
2022-01-02,3,0,2,35,11
2022-01-09,2,0,1,33,10
2022-01-16,2,0,1,30,9
2022-01-23,2,0,2,34,8
2022-01-30,2,0,2,49,9
2022-02-06,2,0,2,46,9
2022-02-13,2,0,2,40,8
2022-02-20,2,0,2,35,8
2022-02-27,2,0,2,40,8
2022-03-06,2,0,1,32,6
2022-03-13,2,0,1,30,7
2022-03-20,2,0,2,30,7
2022-03-27,2,0,2,30,7
2022-04-03,2,0,1,31,6
2022-04-10,2,0,2,30,7
2022-04-17,2,0,2,29,7
2022-04-24,2,0,2,34,8
2022-05-01,2,0,2,36,17
2022-05-08,2,0,2,31,15
2022-05-15,2,0,2,31,12
2022-05-22,2,0,2,30,9
2022-05-29,2,0,2,30,9
2022-06-05,2,0,2,28,9
2022-06-12,2,0,2,32,9
2022-06-19,2,0,2,35,10
2022-06-26,2,0,2,35,10
2022-07-03,2,0,2,33,10
2022-07-10,2,0,2,37,9
2022-07-17,2,0,2,34,8
2022-07-24,2,0,2,28,8
2022-07-31,2,0,2,31,9
2022-08-07,2,0,2,28,9
2022-08-14,2,0,2,29,9
2022-08-21,2,0,2,29,10
2022-08-28,2,0,2,26,11
2022-09-04,2,0,2,26,11
2022-09-11,2,0,2,27,11
2022-09-18,2,0,2,27,11
2022-09-25,2,0,2,29,10
2022-10-02,1,0,2,28,9
2022-10-09,2,0,2,31,9
2022-10-16,2,0,1,29,7
2022-10-23,2,0,2,30,8
2022-10-30,2,0,1,28,8
2022-11-06,2,0,1,29,8
2022-11-13,2,0,2,34,8
2022-11-20,2,0,1,32,7
2022-11-27,1,0,1,33,7
2022-12-04,2,0,1,35,7
2022-12-11,2,0,1,37,8
2022-12-18,2,0,2,45,10
2022-12-25,2,0,2,50,12
2023-01-01,2,0,2,44,11
2023-01-08,2,0,2,36,9
2023-01-15,2,0,1,36,8
