date,Sewu Dino,Agak Laen,Vina: Sebelum 7 Hari,Siksa Kubur,bioskop
2021-09-19,0,0,0,0,29
2021-09-26,0,0,0,0,30
2021-10-03,0,0,0,0,33
2021-10-10,0,0,0,0,31
2021-10-17,0,0,0,0,39
2021-10-24,0,0,0,0,37
2021-10-31,0,0,0,0,40
2021-11-07,0,0,0,0,46
2021-11-14,0,0,0,0,50
2021-11-21,0,0,0,0,46
2021-11-28,0,0,0,0,40
2021-12-05,0,0,0,0,40
2021-12-12,0,0,0,0,59
2021-12-19,0,0,0,0,70
2021-12-26,0,0,0,0,70
2022-01-02,0,0,0,0,65
2022-01-09,0,0,0,0,60
2022-01-16,0,0,0,0,52
2022-01-23,0,0,0,0,50
2022-01-30,0,0,0,0,57
2022-02-06,0,0,0,0,55
2022-02-13,0,0,0,0,51
2022-02-20,0,0,0,0,46
2022-02-27,0,0,0,0,50
2022-03-06,0,0,0,0,39
2022-03-13,0,0,0,0,40
2022-03-20,0,0,0,0,41
2022-03-27,0,0,0,0,41
2022-04-03,0,0,0,0,38
2022-04-10,0,0,0,0,42
2022-04-17,0,0,0,0,45
2022-04-24,0,0,0,0,47
2022-05-01,0,0,0,0,100
2022-05-08,0,0,0,0,87
2022-05-15,3,0,0,0,70
2022-05-22,1,0,0,0,56
2022-05-29,0,0,0,0,56
2022-06-05,1,0,0,0,54
2022-06-12,0,0,0,0,56
2022-06-19,0,0,0,0,61
2022-06-26,0,0,0,0,62
2022-07-03,0,0,0,0,62
2022-07-10,0,0,0,0,53
2022-07-17,0,0,0,0,49
2022-07-24,0,0,0,0,46
2022-07-31,0,0,0,0,51
2022-08-07,0,0,0,0,53
2022-08-14,0,0,0,0,57
2022-08-21,0,0,0,0,62
2022-08-28,0,0,0,0,65
2022-09-04,1,0,0,0,67
2022-09-11,0,0,0,0,68
2022-09-18,0,0,0,0,69
2022-09-25,0,0,0,0,62
2022-10-02,0,0,0,0,57
2022-10-09,0,0,0,0,52
2022-10-16,0,0,0,0,44
2022-10-23,0,0,0,0,46
2022-10-30,0,0,0,0,47
2022-11-06,0,0,0,0,48
2022-11-13,0,0,0,0,47
2022-11-20,0,0,0,0,39
2022-11-27,0,0,0,0,41
2022-12-04,1,0,0,0,40
2022-12-11,1,0,0,0,46
2022-12-18,0,0,0,0,62
2022-12-25,2,0,0,0,70
2023-01-01,2,0,0,0,65
2023-01-08,1,0,0,0,52
2023-01-15,1,0,0,0,48
2023-01-22,0,0,0,0,54
2023-01-29,0,0,0,0,50
2023-02-05,0,0,0,0,45
2023-02-12,0,0,0,0,47
2023-02-19,0,0,0,0,42
2023-02-26,0,0,0,0,40
2023-03-05,1,0,0,1,41
2023-03-12,0,0,0,0,38
2023-03-19,1,0,0,0,41
2023-03-26,1,0,0,0,36
2023-04-02,2,0,0,0,42
2023-04-09,2,0,0,0,42
2023-04-16,9,0,0,0,54
2023-04-23,28,0,0,0,93
2023-04-30,18,0,0,0,66
2023-05-07,13,0,0,0,61
2023-05-14,9,0,0,0,62
2023-05-21,7,0,0,0,57
2023-05-28,5,0,0,0,58
2023-06-04,3,0,0,0,49
2023-06-11,4,0,0,0,53
2023-06-18,4,0,0,0,52
2023-06-25,5,0,0,0,59
2023-07-02,4,0,0,0,56
2023-07-09,4,0,0,0,50
2023-07-16,4,0,0,0,53
2023-07-23,4,0,0,0,54
2023-07-30,3,0,0,0,56
2023-08-06,4,0,0,0,53
2023-08-13,4,0,0,0,48
2023-08-20,4,0,0,0,46
2023-08-27,3,0,0,0,49
2023-09-03,4,0,0,0,56
2023-09-10,3,0,0,0,59
2023-09-17,4,0,0,1,61
2023-09-24,4,0,0,0,67
2023-10-01,4,0,0,0,65
2023-10-08,4,0,0,0,62
2023-10-15,4,1,0,1,60
2023-10-22,7,0,0,1,55
2023-10-29,8,0,0,0,57
2023-11-05,5,0,0,0,57
2023-11-12,4,0,0,1,55
2023-11-19,3,0,0,0,58
2023-11-26,2,0,0,0,50
2023-12-03,3,0,0,1,51
2023-12-10,3,0,0,0,53
2023-12-17,2,0,0,1,63
2023-12-24,3,0,0,1,73
2023-12-31,3,0,0,1,63
2024-01-07,2,0,0,0,49
2024-01-14,1,0,0,0,48
2024-01-21,2,1,0,0,45
2024-01-28,2,8,0,0,52
2024-02-04,2,36,0,0,59
2024-02-11,2,30,0,0,52
2024-02-18,2,27,0,0,53
2024-02-25,2,24,0,1,54
2024-03-03,1,27,0,1,53
2024-03-10,2,23,0,1,48
2024-03-17,1,16,0,0,37
2024-03-24,1,13,0,0,41
2024-03-31,1,11,0,1,39
2024-04-07,1,13,0,7,64
2024-04-14,2,10,0,19,58
2024-04-21,1,8,0,11,43
2024-04-28,1,7,0,5,41
2024-05-05,1,9,4,4,55
2024-05-12,1,7,10,3,56
2024-05-19,1,8,7,2,69
2024-05-26,0,16,4,2,63
2024-06-02,0,25,2,1,41
2024-06-09,0,15,2,1,43
2024-06-16,0,13,1,3,53
2024-06-23,2,9,0,2,52
2024-06-30,1,8,1,2,56
2024-07-07,2,8,1,2,55
2024-07-14,0,7,1,1,49
2024-07-21,1,7,1,1,46
2024-07-28,0,7,1,1,43
2024-08-04,0,6,0,1,40
2024-08-11,0,5,0,1,45
2024-08-18,0,6,0,1,43
2024-08-25,1,5,0,1,41
2024-09-01,0,5,0,1,41
2024-09-08,1,4,0,1,42
2024-09-15,1,4,0,6,50
2024-09-22,0,3,0,5,44
2024-09-29,0,3,0,3,49
2024-10-06,0,3,0,2,46
2024-10-13,0,2,0,2,41
2024-10-20,1,2,0,1,41
2024-10-27,0,2,0,1,43
2024-11-03,0,2,0,1,42
2024-11-10,0,2,0,1,48
2024-11-17,0,3,0,1,46
2024-11-24,1,2,0,1,49
2024-12-01,0,4,0,0,40
2024-12-08,0,2,0,1,44
2024-12-15,0,3,0,0,48
2024-12-22,0,3,0,0,66
2024-12-29,0,3,0,0,64
2025-01-05,0,2,0,1,49
2025-01-12,0,3,0,0,43
2025-01-19,0,1,0,0,42
2025-01-26,0,2,0,1,53
2025-02-02,0,2,0,0,42
2025-02-09,0,2,0,0,41
