date,Ipar Adalah Maut,Kang Mak,The Shadow Strays,Jumbo,bioskop
2021-09-19,0,0,0,0,29
2021-09-26,0,0,0,0,30
2021-10-03,0,0,0,0,33
2021-10-10,0,0,0,0,31
2021-10-17,0,0,0,0,39
2021-10-24,0,0,0,0,37
2021-10-31,0,0,0,0,40
2021-11-07,0,0,0,0,46
2021-11-14,0,0,0,0,50
2021-11-21,0,0,0,0,46
2021-11-28,0,0,0,0,40
2021-12-05,0,0,0,0,40
2021-12-12,0,0,0,0,59
2021-12-19,0,0,0,0,70
2021-12-26,0,0,0,0,70
2022-01-02,0,0,0,0,65
2022-01-09,0,0,0,0,60
2022-01-16,0,0,0,0,52
2022-01-23,0,0,0,0,50
2022-01-30,0,0,0,0,57
2022-02-06,0,0,0,0,55
2022-02-13,0,0,0,0,51
2022-02-20,0,0,0,1,46
2022-02-27,0,0,0,0,50
2022-03-06,0,0,0,0,39
2022-03-13,0,0,0,0,40
2022-03-20,0,0,0,0,41
2022-03-27,0,0,0,0,41
2022-04-03,0,0,0,0,38
2022-04-10,0,0,0,0,42
2022-04-17,0,0,0,0,45
2022-04-24,0,0,0,0,47
2022-05-01,0,0,0,0,100
2022-05-08,0,0,0,0,87
2022-05-15,0,0,0,0,70
2022-05-22,0,0,0,0,56
2022-05-29,0,0,0,0,56
2022-06-05,0,0,0,0,54
2022-06-12,0,0,0,0,56
2022-06-19,0,0,0,0,61
2022-06-26,0,0,0,0,62
2022-07-03,0,0,0,0,62
2022-07-10,0,0,0,0,53
2022-07-17,0,0,0,0,49
2022-07-24,0,0,0,0,46
2022-07-31,0,0,0,0,51
2022-08-07,0,0,0,0,53
2022-08-14,0,0,0,0,57
2022-08-21,0,0,0,0,62
2022-08-28,0,0,0,0,65
2022-09-04,0,0,0,0,67
2022-09-11,0,0,0,0,68
2022-09-18,0,0,0,0,69
2022-09-25,0,0,0,0,62
2022-10-02,0,0,0,0,57
2022-10-09,0,0,0,0,52
2022-10-16,0,0,0,0,44
2022-10-23,0,0,0,0,46
2022-10-30,0,0,0,0,47
2022-11-06,0,0,0,0,48
2022-11-13,0,0,0,0,47
2022-11-20,0,0,0,0,39
2022-11-27,0,0,0,0,41
2022-12-04,0,0,0,0,40
2022-12-11,0,0,0,0,46
2022-12-18,0,0,0,0,62
2022-12-25,0,0,0,0,70
2023-01-01,0,0,0,0,65
2023-01-08,0,0,0,0,52
2023-01-15,0,0,0,0,48
2023-01-22,0,0,0,0,54
2023-01-29,0,0,0,0,50
2023-02-05,0,0,0,0,45
2023-02-12,0,0,0,0,47
2023-02-19,0,0,0,0,42
2023-02-26,0,0,0,0,40
2023-03-05,0,0,0,0,41
2023-03-12,0,0,0,1,38
2023-03-19,0,0,0,0,41
2023-03-26,0,0,0,0,36
2023-04-02,0,0,0,0,42
2023-04-09,0,0,0,0,42
2023-04-16,0,0,0,0,54
2023-04-23,0,0,0,0,93
2023-04-30,0,0,0,0,66
2023-05-07,0,0,0,0,61
2023-05-14,0,0,0,0,62
2023-05-21,0,0,0,0,57
2023-05-28,0,0,0,0,58
2023-06-04,0,0,0,0,49
2023-06-11,0,0,0,0,53
2023-06-18,0,0,0,0,52
2023-06-25,0,0,0,0,59
2023-07-02,0,0,0,0,56
2023-07-09,0,0,0,0,50
2023-07-16,0,0,0,0,53
2023-07-23,0,0,0,0,54
2023-07-30,0,0,0,0,56
2023-08-06,0,0,0,0,53
2023-08-13,0,0,0,0,48
2023-08-20,0,0,0,0,46
2023-08-27,0,0,0,0,49
2023-09-03,0,0,0,0,56
2023-09-10,0,0,0,0,59
2023-09-17,0,0,0,0,61
2023-09-24,0,0,0,0,67
2023-10-01,0,0,0,0,65
2023-10-08,0,0,0,0,62
2023-10-15,0,0,0,0,60
2023-10-22,0,0,0,0,55
2023-10-29,0,0,0,0,57
2023-11-05,0,0,0,0,57
2023-11-12,0,0,0,0,55
2023-11-19,1,0,0,0,58
2023-11-26,0,0,0,0,50
2023-12-03,0,0,0,0,51
2023-12-10,0,0,0,0,53
2023-12-17,0,0,0,0,63
2023-12-24,0,0,0,0,73
2023-12-31,0,0,0,0,63
2024-01-07,0,0,0,0,49
2024-01-14,0,0,0,0,48
2024-01-21,0,0,0,0,45
2024-01-28,0,1,0,0,52
2024-02-04,0,0,0,0,59
2024-02-11,0,0,0,0,52
2024-02-18,0,0,0,0,53
2024-02-25,0,0,0,0,54
2024-03-03,0,0,0,0,53
2024-03-10,0,0,0,0,48
2024-03-17,0,0,0,0,37
2024-03-24,1,0,0,0,41
2024-03-31,0,0,0,0,39
2024-04-07,0,0,0,0,64
2024-04-14,0,0,0,0,58
2024-04-21,0,0,0,0,43
2024-04-28,0,0,0,0,41
2024-05-05,0,0,0,0,55
2024-05-12,1,0,0,0,56
2024-05-19,0,0,0,0,69
2024-05-26,1,0,0,0,63
2024-06-02,1,0,0,0,41
2024-06-09,9,0,0,0,43
2024-06-16,37,0,0,0,53
2024-06-23,28,0,0,0,52
2024-06-30,20,0,0,0,56
2024-07-07,15,0,0,0,55
2024-07-14,12,2,0,0,49
2024-07-21,11,3,0,0,46
2024-07-28,9,3,0,0,43
2024-08-04,8,6,0,0,40
2024-08-11,7,14,0,0,45
2024-08-18,6,31,0,0,43
2024-08-25,5,19,0,0,41
2024-09-01,4,14,0,0,41
2024-09-08,5,9,0,0,42
2024-09-15,7,10,0,0,50
2024-09-22,5,7,0,0,44
2024-09-29,4,7,0,0,49
2024-10-06,5,5,0,0,46
2024-10-13,5,5,3,0,41
2024-10-20,4,4,6,0,41
2024-10-27,4,5,3,0,43
2024-11-03,9,5,2,0,42
2024-11-10,25,5,2,0,48
2024-11-17,20,5,1,0,46
2024-11-24,15,5,2,0,49
2024-12-01,8,4,1,0,40
2024-12-08,7,4,0,0,44
2024-12-15,6,6,1,0,48
2024-12-22,6,5,0,0,66
2024-12-29,4,22,1,0,64
2025-01-05,4,10,1,1,49
2025-01-12,3,6,1,0,43
2025-01-19,2,4,1,0,42
2025-01-26,3,6,0,0,53
2025-02-02,2,3,0,0,42
2025-02-09,2,3,0,1,41
2025-02-16,2,2,0,0,40
