query,value,tipe,genre_keyword
nonton film animasi sub indo,100,top,film animasi
film animasi terbaru,62,top,film animasi
film animasi indonesia,48,top,film animasi
film animasi terbaik,46,top,film animasi
film animasi disney,39,top,film animasi
nonton film animasi terbaik,34,top,film animasi
film animasi 2022,29,top,film animasi
film animasi 2023,21,top,film animasi
film animasi terbaru 2022,13,top,film animasi
film animasi 2024,12,top,film animasi
film animasi jumbo,10,top,film animasi
film animasi terbaru 2023,8,top,film animasi
film animasi terbaik 2022,5,top,film animasi
film animasi 2026,4,top,film animasi
film animasi terbaik 2023,3,top,film animasi
rekomendasi film animasi 2022,2,top,film animasi
film animasi 2022 yang sudah tayang,1,top,film animasi
film animasi 2022,639550,rising,film animasi
film animasi 2023,465450,rising,film animasi
film animasi 2024,253350,rising,film animasi
film animasi jumbo,224100,rising,film animasi
film animasi terbaru 2023,176150,rising,film animasi
film animasi terbaik 2022,100950,rising,film animasi
film animasi 2026,97100,rising,film animasi
film animasi terbaik 2023,63700,rising,film animasi
rekomendasi film animasi 2022,39700,rising,film animasi
film animasi 2022 yang sudah tayang,23900,rising,film animasi
film animasi terbaru 2022,6150,rising,film animasi
film animasi disney,50,rising,film animasi
