query,value,tipe,genre_keyword
nonton film drama,100,top,film drama
film drama korea,39,top,film drama
nonton film drama korea,26,top,film drama
film drama china,24,top,film drama
film drama indonesia,23,top,film drama
nonton film drama china,19,top,film drama
film drama romantis,8,top,film drama
film drama semi,7,top,film drama
nonton film drama china a female student arrives at the imperial college subtitle indonesia,0,top,film drama
nonton film drama china a female student arrives at the imperial college subtitle indonesia,350,rising,film drama
nonton film drama china,120,rising,film drama
film drama china,100,rising,film drama
