query,value,tipe,genre_keyword
film horor indonesia,100,top,film horor
horor indonesia,96,top,film horor
nonton film horor,35,top,film horor
film horor terbaru,32,top,film horor
nonton film horor indonesia,21,top,film horor
film horor indonesia terbaru,17,top,film horor
film horor indo,15,top,film horor
film horor 2023,14,top,film horor
horor thailand,13,top,film horor
film horor 2022,12,top,film horor
film horor korea,9,top,film horor
rekomendasi film horor,9,top,film horor
film horor 2024,8,top,film horor
film horor 2023 indonesia,8,top,film horor
film horor terseram,8,top,film horor
film horor terbaik,7,top,film horor
nonton film horor terbaru,7,top,film horor
film horor 2022 indonesia,5,top,film horor
film horor indonesia 2024,5,top,film horor
film horor 2025,5,top,film horor
film horor terbaru 2022,4,top,film horor
film horor terbaru 2023,4,top,film horor
film horor indonesia 2025,3,top,film horor
film horor indonesia terbaru 2023,2,top,film horor
film horor terbaru indonesia 2022,2,top,film horor
film horor 2023,570350,rising,film horor
film horor 2023 indonesia,332150,rising,film horor
film horor 2022 indonesia,215350,rising,film horor
film horor indonesia 2024,211700,rising,film horor
film horor 2025,199950,rising,film horor
film horor terbaru 2023,162400,rising,film horor
film horor 2024,117750,rising,film horor
film horor indonesia 2025,112150,rising,film horor
film horor indonesia terbaru 2023,84550,rising,film horor
film horor 2022,82700,rising,film horor
film horor terbaru 2022,76200,rising,film horor
film horor bioskop 2022,45900,rising,film horor
film horor bioskop 2023,45750,rising,film horor
film horor indonesia 2026,29550,rising,film horor
nonton film horor indonesia terbaru 2023,28800,rising,film horor
film horor terbaru indonesia 2022,23750,rising,film horor
film horor terbaru 2024,20750,rising,film horor
nonton film horor indonesia terbaru 2022,7550,rising,film horor
rekomendasi film horor,250,rising,film horor
nonton film horor indonesia,160,rising,film horor
nonton film horor terbaru,120,rising,film horor
nonton film horor,80,rising,film horor
horor indonesia,50,rising,film horor
film horor indonesia,50,rising,film horor
film horor indonesia terbaru,40,rising,film horor
