query,value,tipe,genre_keyword
film komedi indonesia,100,top,film komedi
film komedi horor,39,top,film komedi
nonton film komedi,36,top,film komedi
film komedi thailand,27,top,film komedi
film komedi terbaru,20,top,film komedi
film komedi horor indonesia,18,top,film komedi
film komedi terbaik,15,top,film komedi
film komedi action,10,top,film komedi
film komedi 2022,8,top,film komedi
film komedi indonesia terbaru,7,top,film komedi
film komedi 2023,7,top,film komedi
rekomendasi film komedi,7,top,film komedi
film komedi 2021,5,top,film komedi
film komedi indonesia 2022,4,top,film komedi
film komedi indonesia 2023,4,top,film komedi
film komedi di netflix,4,top,film komedi
film komedi indonesia 2024,3,top,film komedi
film komedi indonesia 2021,2,top,film komedi
rekomendasi film komedi indonesia,2,top,film komedi
film komedi indonesia di netflix,2,top,film komedi
film komedi indonesia 2025,2,top,film komedi
film komedi korea 2022,2,top,film komedi
film komedi 2022,312150,rising,film komedi
film komedi 2023,265250,rising,film komedi
film komedi indonesia 2022,176600,rising,film komedi
film komedi indonesia 2023,161100,rising,film komedi
film komedi indonesia 2024,130300,rising,film komedi
film komedi indonesia 2025,66900,rising,film komedi
film komedi korea 2022,59950,rising,film komedi
film komedi indonesia di netflix,1050,rising,film komedi
film komedi di netflix,700,rising,film komedi
rekomendasi film komedi indonesia,250,rising,film komedi
film komedi indonesia 2021,200,rising,film komedi
film komedi 2021,200,rising,film komedi
rekomendasi film komedi,130,rising,film komedi
film komedi horor indonesia,80,rising,film komedi
film komedi horor,50,rising,film komedi
