query,value,tipe,genre_keyword
nonton film romantis,100,top,film romantis
film romantis korea,67,top,film romantis
film romantis barat,23,top,film romantis
nonton film romantis barat,20,top,film romantis
film romantis terbaru,17,top,film romantis
nonton film romantis indonesia,17,top,film romantis
film romantis china,15,top,film romantis
film romantis india,10,top,film romantis
rekomendasi film romantis,8,top,film romantis
film romantis di netflix,2,top,film romantis
film romantis di netflix,400,rising,film romantis
rekomendasi film romantis,100,rising,film romantis
film romantis china,50,rising,film romantis
